index,coffeeName,rating,rating_count,url,24_hours,lon,lan
0,Cacti Cafe,4.2,2212,https://www.google.com/maps/place/Cacti+Cafe/data=!4m7!3m6!1s0x3e2efde0d2059f1d:0xfca400b51ca140cc!8m2!3d24.8339855!4d46.7356133!16s%2Fg%2F11mwzvn0zx!19sChIJHZ8F0uD9Lj4RzEChHLUApPw?authuser=0&hl=en&rclk=1,True,46.7356133,24.8339855
1,فازا قهوة مختصة,4.3,889,https://www.google.com/maps/place/%D9%81%D8%A7%D8%B2%D8%A7+%D9%82%D9%87%D9%88%D8%A9+%D9%85%D8%AE%D8%AA%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2efdc6c840b3ed:0x792ad260e10b7e!8m2!3d24.7724577!4d46.6973369!16s%2Fg%2F11mwkdclc9!19sChIJ7bNAyMb9Lj4RfgvhYNIqeQA?authuser=0&hl=en&rclk=1,False,46.6973369,24.7724577
2,ناريز,3.8,39,https://www.google.com/maps/place/%D9%86%D8%A7%D8%B1%D9%8A%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x3e2faacd291e6591:0x3e908558d2f0f63f!8m2!3d24.8072766!4d46.8521092!16s%2Fg%2F11c5_5k_zz!19sChIJkWUeKc2qLz4RP_bw0liFkD4?authuser=0&hl=en&rclk=1,False,46.8521092,24.8072766
3,Fc Lounge - اف سي لاونج,3.5,539,https://www.google.com/maps/place/Fc+Lounge+-+%D8%A7%D9%81+%D8%B3%D9%8A+%D9%84%D8%A7%D9%88%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2eff79d7dd770d:0xbd5029a7e12e0c2b!8m2!3d24.8131149!4d46.7680585!16s%2Fg%2F11lgkw1ffk!19sChIJDXfd13n_Lj4RKwwu4acpUL0?authuser=0&hl=en&rclk=1,True,46.7680585,24.8131149
4,PEAKS,4.6,25,https://www.google.com/maps/place/PEAKS/data=!4m7!3m6!1s0x3e2ee380585f0151:0xab784cd32a1e3d85!8m2!3d24.742045!4d46.6348092!16s%2Fg%2F11s0qh89n0!19sChIJUQFfWIDjLj4RhT0eKtNMeKs?authuser=0&hl=en&rclk=1,False,46.6348092,24.742045
5,Joffrey's جوفريز,2.9,34,https://www.google.com/maps/place/Joffrey%27s+%D8%AC%D9%88%D9%81%D8%B1%D9%8A%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x3e2f1d97addc7711:0xc93e4546dea3a486!8m2!3d24.7146875!4d46.6349375!16s%2Fg%2F11p00bzdsv!19sChIJEXfcrZcdLz4RhqSj3kZFPsk?authuser=0&hl=en&rclk=1,False,46.6349375,24.7146875
6,Just A Space,3.7,642,https://www.google.com/maps/place/Just+A+Space/data=!4m7!3m6!1s0x3e2ee37ebbba0adb:0x6244de085a0cf625!8m2!3d24.7537907!4d46.6391066!16s%2Fg%2F11k453rlpd!19sChIJ2wq6u37jLj4RJfYMWgjeRGI?authuser=0&hl=en&rclk=1,False,46.6391066,24.7537907
7,الشاهي العراقي,4.4,12,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B4%D8%A7%D9%87%D9%8A+%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2ee75f38590887:0x28ba0de63ca0ad9b!8m2!3d24.7858838!4d46.570204!16s%2Fg%2F11j_8995bg!19sChIJhwhZOF_nLj4Rm62gPOYNuig?authuser=0&hl=en&rclk=1,False,46.570204,24.7858838
8,Starbucks,3.0,3,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3e2f0fb40c10af73:0xeb51950ba62c9b8d!8m2!3d24.5746565!4d46.677429!16s%2Fg%2F11tgbf0sl7!19sChIJc68QDLQPLz4RjZsspguVUes?authuser=0&hl=en&rclk=1,True,46.6775316,24.5748114
9,Arabica cafe,3.9,19,https://www.google.com/maps/place/Arabica+cafe/data=!4m7!3m6!1s0x3e2f010780272ff5:0xb6f597526c208e6f!8m2!3d24.7712633!4d46.8047485!16s%2Fg%2F11j_1m6cyh!19sChIJ9S8ngAcBLz4Rb44gbFKX9bY?authuser=0&hl=en&rclk=1,True,46.8047485,24.7712633
10,ستار بوكس,4.0,114,https://www.google.com/maps/place/%D8%B3%D8%AA%D8%A7%D8%B1+%D8%A8%D9%88%D9%83%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x3e2f01b2b28fe6bf:0x76eea34763718782!8m2!3d24.7241864!4d46.7757565!16s%2Fg%2F11hdlpbbjj!19sChIJv-aPsrIBLz4RgodxY0ej7nY?authuser=0&hl=en&rclk=1,False,46.7757565,24.7241864
11,10AM CAFE,4.9,25,https://www.google.com/maps/place/10AM+CAFE/data=!4m7!3m6!1s0x3e2f1dd0b5250ffb:0x58974df29c6dee19!8m2!3d24.7010111!4d46.6470984!16s%2Fg%2F11rzpybx2f!19sChIJ-w8ltdAdLz4RGe5tnPJNl1g?authuser=0&hl=en&rclk=1,False,46.6470984,24.7010111
12,راما كافية,3.3,16,https://www.google.com/maps/place/%D8%B1%D8%A7%D9%85%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f0f835bc0358d:0x86a7ce337168e5ab!8m2!3d24.6067405!4d46.7445356!16s%2Fg%2F11gldhw5sh!19sChIJjTXAW4MPLz4Rq-VocTPOp4Y?authuser=0&hl=en&rclk=1,False,46.7445356,24.6067405
13,كيان كافيه,4.0,494,https://www.google.com/maps/place/%D9%83%D9%8A%D8%A7%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2f1bdee5cc8bb9:0x6d0ac8ac0c8713ce!8m2!3d24.5736094!4d46.6238151!16s%2Fg%2F11rhp2nhl5!19sChIJuYvM5d4bLz4RzhOHDKzICm0?authuser=0&hl=en&rclk=1,True,46.6238151,24.5736094
